country,crpd_category,crpd_category_v,year,cpi_score,power_distance,individualism,motivation,uncertainty_avoidance,long_term_orientation,indulgence,democracy_index,democracy_cat,freedom_index,gdp,human_development_index,life_expectancy,expected_years_of_schooling,mean_years_of_schooling,crime_index,safety_index,unemployment_rate,signed,ratified,protocol
Lebanon,signed or ratified convention with protocol,4,2022,24,NA,NA,NA,NA,NA,NA,3.64,Authoritarian Regime,42,NA,NA,NA,NA,NA,46.9,53.1,NA,TRUE,FALSE,TRUE
Lesotho,signed or ratified convention,2,2022,37,NA,NA,NA,NA,NA,NA,6.19,Flawed Democracy,63,1107.4,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE
Liberia,signed and ratified convention with protocol,5,2022,26,NA,NA,NA,NA,NA,NA,5.43,Hybrid Regime,60,754.53,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE
Libya,signed and ratified convention,3,2022,17,NA,NA,NA,NA,NA,NA,2.06,Authoritarian Regime,9,6716.1,NA,NA,NA,NA,60.3,39.7,NA,TRUE,TRUE,FALSE
Liechtenstein,signed or ratified convention,2,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
Lithuania,signed and ratified convention with protocol,5,2022,62,NA,NA,NA,NA,NA,NA,7.31,Flawed Democracy,89,24826.79,NA,NA,NA,NA,33.3,66.7,5.96,TRUE,TRUE,TRUE
Luxembourg,signed and ratified convention with protocol,5,2022,77,NA,NA,NA,NA,NA,NA,8.81,Full Democracy,97,126426.09,NA,NA,NA,NA,35.7,64.3,4.58,TRUE,TRUE,TRUE
Madagascar,signed and ratified convention with protocol,5,2022,26,NA,NA,NA,NA,NA,NA,5.7,Hybrid Regime,61,505.04,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE
Malawi,signed and ratified convention,3,2022,34,NA,NA,NA,NA,NA,NA,5.91,Hybrid Regime,66,645.16,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
Malaysia,signed and ratified convention,3,2022,47,NA,NA,NA,NA,NA,NA,7.3,Flawed Democracy,50,11971.93,NA,NA,NA,NA,55.7,44.3,NA,TRUE,TRUE,FALSE
Maldives,signed and ratified convention,3,2022,40,NA,NA,NA,NA,NA,NA,NA,NA,40,11817.52,NA,NA,NA,NA,54.7,45.3,NA,TRUE,TRUE,FALSE
Mali,signed and ratified convention with protocol,5,2022,28,NA,NA,NA,NA,NA,NA,3.23,Authoritarian Regime,32,833.3,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE
Malta,signed and ratified convention with protocol,5,2022,51,NA,NA,NA,NA,NA,NA,7.7,Flawed Democracy,89,33940.95,NA,NA,NA,NA,40.8,59.2,2.92,TRUE,TRUE,TRUE
Marshall Islands,signed or ratified convention,2,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,6727.8,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE
Mauritania,signed or ratified convention with protocol,4,2022,30,NA,NA,NA,NA,NA,NA,4.03,Hybrid Regime,35,2190.7,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE
Mauritius,signed and ratified convention with protocol,5,2022,50,NA,NA,NA,NA,NA,NA,8.14,Full Democracy,86,10216.29,NA,NA,NA,NA,48.9,51.1,NA,TRUE,TRUE,TRUE
Mexico,signed and ratified convention with protocol,5,2022,31,NA,NA,NA,NA,NA,NA,5.25,Hybrid Regime,60,11091.31,NA,NA,NA,NA,53.7,46.3,3.26,TRUE,TRUE,TRUE
Micronesia,signed and ratified convention,3,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,3741.06,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
Monaco,signed and ratified convention with protocol,5,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,NA,NA,NA,NA,NA,25.1,74.9,NA,TRUE,TRUE,TRUE
Mongolia,signed or ratified convention with protocol,4,2022,33,NA,NA,NA,NA,NA,NA,6.35,Flawed Democracy,84,4946.75,NA,NA,NA,NA,53.7,46.3,6.21,FALSE,TRUE,TRUE
Montenegro,signed and ratified convention with protocol,5,2022,45,NA,NA,NA,NA,NA,NA,6.45,Flawed Democracy,67,9893.52,NA,NA,NA,NA,41.1,58.9,NA,TRUE,TRUE,TRUE
Morocco,signed and ratified convention with protocol,5,2022,38,NA,NA,NA,NA,NA,NA,5.04,Hybrid Regime,37,3527.94,NA,NA,NA,NA,49.1,50.9,NA,TRUE,TRUE,TRUE
Mozambique,signed and ratified convention with protocol,5,2022,26,NA,NA,NA,NA,NA,NA,3.51,Authoritarian Regime,43,541.45,NA,NA,NA,NA,62.8,37.2,NA,TRUE,TRUE,TRUE
Myanmar,signed or ratified convention,2,2022,23,NA,NA,NA,NA,NA,NA,0.74,Authoritarian Regime,9,1095.7,NA,NA,NA,NA,46.5,53.5,NA,FALSE,TRUE,FALSE
Namibia,signed and ratified convention with protocol,5,2022,49,NA,NA,NA,NA,NA,NA,6.52,Flawed Democracy,77,4911.33,NA,NA,NA,NA,64.7,35.3,NA,TRUE,TRUE,TRUE
Nauru,signed or ratified convention,2,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,11913.66,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE
Nepal,signed and ratified convention with protocol,5,2022,34,NA,NA,NA,NA,NA,NA,4.49,Hybrid Regime,57,1336.55,NA,NA,NA,NA,37.5,62.5,NA,TRUE,TRUE,TRUE
Netherlands,signed and ratified convention,3,2022,80,NA,NA,NA,NA,NA,NA,9,Full Democracy,97,55985.4,NA,NA,NA,NA,27.9,72.1,3.52,TRUE,TRUE,FALSE
New Zealand,signed and ratified convention,3,2022,87,NA,NA,NA,NA,NA,NA,9.61,Full Democracy,99,48249.26,NA,NA,NA,NA,43.3,56.7,3.3,TRUE,TRUE,FALSE
Nicaragua,signed and ratified convention with protocol,5,2022,19,NA,NA,NA,NA,NA,NA,2.5,Authoritarian Regime,23,2255.43,NA,NA,NA,NA,47.9,52.1,NA,TRUE,TRUE,TRUE
Niger,signed and ratified convention with protocol,5,2022,32,NA,NA,NA,NA,NA,NA,3.73,Authoritarian Regime,51,533.03,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE
Nigeria,signed and ratified convention with protocol,5,2022,24,NA,NA,NA,NA,NA,NA,4.23,Hybrid Regime,43,2184.42,NA,NA,NA,NA,63.8,36.2,NA,TRUE,TRUE,TRUE
North Macedonia,signed and ratified convention with protocol,5,2022,40,NA,NA,NA,NA,NA,NA,6.1,Flawed Democracy,67,6591.47,NA,NA,NA,NA,40.9,59.1,14.43,TRUE,TRUE,TRUE
Norway,signed and ratified convention,3,2022,84,NA,NA,NA,NA,NA,NA,9.81,Full Democracy,100,106148.78,NA,NA,NA,NA,33.8,66.2,3.23,TRUE,TRUE,FALSE
Oman,signed and ratified convention,3,2022,44,NA,NA,NA,NA,NA,NA,3.12,Authoritarian Regime,24,25056.79,NA,NA,NA,NA,20,80,NA,TRUE,TRUE,FALSE
Pakistan,signed and ratified convention,3,2022,27,NA,NA,NA,NA,NA,NA,4.13,Hybrid Regime,37,1596.66,NA,NA,NA,NA,42,58,NA,TRUE,TRUE,FALSE
Palau,signed and ratified convention with protocol,5,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE
Panama,signed and ratified convention with protocol,5,2022,36,NA,NA,NA,NA,NA,NA,6.91,Flawed Democracy,83,17357.63,NA,NA,NA,NA,43.9,56.1,8.28,TRUE,TRUE,TRUE
Papua New Guinea,signed and ratified convention,3,2022,30,NA,NA,NA,NA,NA,NA,5.97,Hybrid Regime,62,3020.27,NA,NA,NA,NA,81.2,18.8,NA,TRUE,TRUE,FALSE
Paraguay,signed and ratified convention with protocol,5,2022,28,NA,NA,NA,NA,NA,NA,5.89,Hybrid Regime,65,6153.06,NA,NA,NA,NA,49.2,50.8,6.75,TRUE,TRUE,TRUE
Peru,signed and ratified convention with protocol,5,2022,36,NA,NA,NA,NA,NA,NA,5.92,Hybrid Regime,72,7125.83,NA,NA,NA,NA,67.1,32.9,3.85,TRUE,TRUE,TRUE
Philippines,signed and ratified convention,3,2022,33,NA,NA,NA,NA,NA,NA,6.73,Flawed Democracy,55,3498.51,NA,NA,NA,NA,42.3,57.7,NA,TRUE,TRUE,FALSE
Poland,signed and ratified convention,3,2022,55,NA,NA,NA,NA,NA,NA,7.04,Flawed Democracy,81,18321.28,NA,NA,NA,NA,29.8,70.2,2.89,TRUE,TRUE,FALSE
Portugal,signed and ratified convention with protocol,5,2022,62,NA,NA,NA,NA,NA,NA,7.95,Flawed Democracy,95,24274.52,NA,NA,NA,NA,30.6,69.4,6.01,TRUE,TRUE,TRUE
Qatar,signed and ratified convention with protocol,5,2022,58,NA,NA,NA,NA,NA,NA,3.65,Authoritarian Regime,25,88046.32,NA,NA,NA,NA,13.8,86.2,0.13,TRUE,TRUE,TRUE
South Korea,signed and ratified convention with protocol,5,2022,63,NA,NA,NA,NA,NA,NA,8.03,Full Democracy,83,32254.62,NA,NA,NA,NA,26.5,73.5,2.86,TRUE,TRUE,TRUE
Moldova,signed and ratified convention with protocol,5,2022,39,NA,NA,NA,NA,NA,NA,6.23,Flawed Democracy,62,5562.61,NA,NA,NA,NA,47.4,52.6,0.91,TRUE,TRUE,TRUE
Romania,signed and ratified convention with protocol,5,2022,46,NA,NA,NA,NA,NA,NA,6.45,Flawed Democracy,83,15892.12,NA,NA,NA,NA,28.8,71.2,5.61,TRUE,TRUE,TRUE
Russia,signed and ratified convention,3,2022,28,NA,NA,NA,NA,NA,NA,2.28,Authoritarian Regime,19,15345.1,NA,NA,NA,NA,39.6,60.4,3.87,TRUE,TRUE,FALSE
Rwanda,signed or ratified convention with protocol,4,2022,51,NA,NA,NA,NA,NA,NA,3.1,Authoritarian Regime,22,966.33,NA,NA,NA,NA,24.3,75.7,15.08,FALSE,TRUE,TRUE
Samoa,signed and ratified convention,3,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,3743.21,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
San Marino,signed and ratified convention with protocol,5,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE
Sao Tome and Principe,signed or ratified convention with protocol,4,2022,45,NA,NA,NA,NA,NA,NA,NA,NA,84,2404.26,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE
Saudi Arabia,signed or ratified convention with protocol,4,2022,51,NA,NA,NA,NA,NA,NA,2.08,Authoritarian Regime,7,30436.28,NA,NA,NA,NA,24.7,75.3,5.59,FALSE,TRUE,TRUE
Senegal,signed and ratified convention with protocol,5,2022,43,NA,NA,NA,NA,NA,NA,5.72,Hybrid Regime,68,1598.74,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE
Serbia,signed and ratified convention with protocol,5,2022,36,NA,NA,NA,NA,NA,NA,6.33,Flawed Democracy,62,9393.63,NA,NA,NA,NA,38.3,61.7,8.68,TRUE,TRUE,TRUE
Seychelles,signed and ratified convention with protocol,5,2022,70,NA,NA,NA,NA,NA,NA,NA,NA,79,15874.54,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE
Sierra Leone,signed and ratified convention with protocol,5,2022,34,NA,NA,NA,NA,NA,NA,5.03,Hybrid Regime,65,461.36,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE
Singapore,signed and ratified convention,3,2022,83,NA,NA,NA,NA,NA,NA,6.22,Flawed Democracy,47,82807.65,NA,NA,NA,NA,27.6,72.4,3.59,TRUE,TRUE,FALSE
Slovakia,signed and ratified convention with protocol,5,2022,53,NA,NA,NA,NA,NA,NA,7.07,Flawed Democracy,90,NA,NA,NA,NA,NA,30.2,69.8,NA,TRUE,TRUE,TRUE
Slovenia,signed and ratified convention with protocol,5,2022,56,NA,NA,NA,NA,NA,NA,7.75,Flawed Democracy,90,29457.4,NA,NA,NA,NA,22.7,77.3,4.01,TRUE,TRUE,TRUE
Solomon Islands,signed and ratified convention with protocol,5,2022,42,NA,NA,NA,NA,NA,NA,NA,NA,79,2203.19,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE
Somalia,signed and ratified convention,3,2022,12,NA,NA,NA,NA,NA,NA,NA,NA,7,461.78,NA,NA,NA,NA,58,42,NA,TRUE,TRUE,FALSE
South Africa,signed and ratified convention with protocol,5,2022,43,NA,NA,NA,NA,NA,NA,7.05,Flawed Democracy,79,6776.48,NA,NA,NA,NA,76.1,23.9,28.84,TRUE,TRUE,TRUE
Spain,signed and ratified convention with protocol,5,2022,60,NA,NA,NA,NA,NA,NA,8.07,Full Democracy,90,29350.17,NA,NA,NA,NA,33.9,66.1,12.92,TRUE,TRUE,TRUE
Sri Lanka,signed and ratified convention,3,2022,36,NA,NA,NA,NA,NA,NA,6.47,Flawed Democracy,55,3354.38,NA,NA,NA,NA,41.2,58.8,NA,TRUE,TRUE,FALSE
St. Kitts and Nevis,signed and ratified convention,3,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,20176.75,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
St. Lucia,signed and ratified convention with protocol,5,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,11481.5,NA,NA,NA,NA,NA,NA,15.77,TRUE,TRUE,TRUE
St. Vincent and the Grenadines,signed or ratified convention with protocol,4,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,9125.32,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE
Palestine,signed or ratified convention with protocol,4,2022,NA,NA,NA,NA,NA,NA,NA,3.86,Authoritarian Regime,NA,NA,NA,NA,NA,NA,43.2,56.8,NA,FALSE,TRUE,TRUE
Sudan,signed and ratified convention with protocol,5,2022,22,NA,NA,NA,NA,NA,NA,2.47,Authoritarian Regime,10,1102.15,NA,NA,NA,NA,44.6,55.4,NA,TRUE,TRUE,TRUE
Suriname,signed and ratified convention,3,2022,40,NA,NA,NA,NA,NA,NA,6.95,Flawed Democracy,79,5858.29,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
Sweden,signed and ratified convention with protocol,5,2022,83,NA,NA,NA,NA,NA,NA,9.39,Full Democracy,100,55873.22,NA,NA,NA,NA,49,51,7.39,TRUE,TRUE,TRUE
Switzerland,signed or ratified convention,2,2022,82,NA,NA,NA,NA,NA,NA,9.14,Full Democracy,96,92101.47,NA,NA,NA,NA,21.7,78.3,4.3,FALSE,TRUE,FALSE
Syria,signed and ratified convention with protocol,5,2022,13,NA,NA,NA,NA,NA,NA,1.43,Authoritarian Regime,1,NA,NA,NA,NA,NA,67.5,32.5,NA,TRUE,TRUE,TRUE
Tajikistan,signed or ratified convention,2,2022,24,NA,NA,NA,NA,NA,NA,1.94,Authoritarian Regime,8,1054.19,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
Thailand,signed and ratified convention with protocol,5,2022,36,NA,NA,NA,NA,NA,NA,6.67,Flawed Democracy,29,6908.8,NA,NA,NA,NA,39.3,60.7,0.94,TRUE,TRUE,TRUE
Timor-Leste,signed or ratified convention with protocol,4,2022,42,NA,NA,NA,NA,NA,NA,NA,NA,72,2358.41,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE
Togo,signed and ratified convention with protocol,5,2022,30,NA,NA,NA,NA,NA,NA,2.99,Authoritarian Regime,42,918.38,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE
Tonga,signed or ratified convention,2,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
Trinidad and Tobago,signed and ratified convention,3,2022,42,NA,NA,NA,NA,NA,NA,7.16,Flawed Democracy,82,18222.26,NA,NA,NA,NA,71.4,28.6,NA,TRUE,TRUE,FALSE
Tunisia,signed and ratified convention with protocol,5,2022,40,NA,NA,NA,NA,NA,NA,5.51,Hybrid Regime,64,3776.67,NA,NA,NA,NA,44.3,55.7,NA,TRUE,TRUE,TRUE
Turkey,signed and ratified convention with protocol,5,2022,36,NA,NA,NA,NA,NA,NA,4.35,Hybrid Regime,32,10616.06,NA,NA,NA,NA,39.7,60.3,10.43,TRUE,TRUE,TRUE
Turkmenistan,signed or ratified convention with protocol,4,2022,19,NA,NA,NA,NA,NA,NA,1.66,Authoritarian Regime,2,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE
Tuvalu,signed or ratified convention,2,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,5334.99,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE
Uganda,signed and ratified convention with protocol,5,2022,26,NA,NA,NA,NA,NA,NA,4.55,Hybrid Regime,34,964.22,NA,NA,NA,NA,56.2,43.8,NA,TRUE,TRUE,TRUE
Ukraine,signed and ratified convention with protocol,5,2022,33,NA,NA,NA,NA,NA,NA,5.42,Hybrid Regime,61,4533.98,NA,NA,NA,NA,46.9,53.1,NA,TRUE,TRUE,TRUE
United Arab Emirates,signed and ratified convention with protocol,5,2022,67,NA,NA,NA,NA,NA,NA,2.9,Authoritarian Regime,17,53757.86,NA,NA,NA,NA,15.1,84.9,NA,TRUE,TRUE,TRUE
United Kingdom,signed and ratified convention with protocol,5,2022,73,NA,NA,NA,NA,NA,NA,8.28,Full Democracy,93,45850.43,NA,NA,NA,NA,46.5,53.5,NA,TRUE,TRUE,TRUE
Tanzania,signed and ratified convention with protocol,5,2022,38,NA,NA,NA,NA,NA,NA,5.1,Hybrid Regime,34,1192.4,NA,NA,NA,NA,56.3,43.7,NA,TRUE,TRUE,TRUE
United States,signed or ratified convention,2,2022,69,NA,NA,NA,NA,NA,NA,7.85,Flawed Democracy,83,76398.59,NA,NA,NA,NA,48.2,51.8,3.65,TRUE,FALSE,FALSE
Uruguay,signed and ratified convention with protocol,5,2022,74,NA,NA,NA,NA,NA,NA,8.91,Full Democracy,97,20795.04,NA,NA,NA,NA,51.4,48.6,7.87,TRUE,TRUE,TRUE
Uzbekistan,signed and ratified convention,3,2022,31,NA,NA,NA,NA,NA,NA,2.12,Authoritarian Regime,11,2255.15,NA,NA,NA,NA,33.8,66.2,NA,TRUE,TRUE,FALSE
Vanuatu,signed and ratified convention,3,2022,48,NA,NA,NA,NA,NA,NA,NA,NA,82,3010.29,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
Venezuela,signed or ratified convention,2,2022,14,NA,NA,NA,NA,NA,NA,2.23,Authoritarian Regime,14,NA,NA,NA,NA,NA,83.6,16.4,NA,FALSE,TRUE,FALSE
Vietnam,signed and ratified convention,3,2022,42,NA,NA,NA,NA,NA,NA,2.73,Authoritarian Regime,19,4163.51,NA,NA,NA,NA,45.8,54.2,1.54,TRUE,TRUE,FALSE
Yemen,signed and ratified convention with protocol,5,2022,16,NA,NA,NA,NA,NA,NA,1.95,Authoritarian Regime,9,676.93,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE
Zambia,signed and ratified convention with protocol,5,2022,33,NA,NA,NA,NA,NA,NA,5.8,Hybrid Regime,51,1487.91,NA,NA,NA,NA,46.3,53.7,NA,TRUE,TRUE,TRUE
Zimbabwe,signed or ratified convention with protocol,4,2022,23,NA,NA,NA,NA,NA,NA,2.92,Authoritarian Regime,28,1267,NA,NA,NA,NA,59.7,40.3,NA,FALSE,TRUE,TRUE
