country,crpd_category,crpd_category_v,year,cpi_score.x,cpi_score.y,power_distance,individualism,motivation,uncertainty_avoidance,long_term_orientation,indulgence,democracy_index,democracy_cat,freedom_index,gdp,human_development_index,life_expectancy,expected_years_of_schooling,mean_years_of_schooling,crime_index,safety_index,unemployment_rate
Lebanon,signed both crpd and protocol,2,2022,24,24,NA,NA,NA,NA,NA,NA,3.64,Authoritarian Regime,42,NA,NA,NA,NA,NA,46.9,53.1,NA
Lesotho,ratified protocol,3,2022,37,37,NA,NA,NA,NA,NA,NA,6.19,Flawed Democracy,63,1107.4,NA,NA,NA,NA,NA,NA,NA
Liberia,ratified protocol,3,2022,26,26,NA,NA,NA,NA,NA,NA,5.43,Hybrid Regime,60,754.53,NA,NA,NA,NA,NA,NA,NA
Libya,ratified protocol,3,2022,17,17,NA,NA,NA,NA,NA,NA,2.06,Authoritarian Regime,9,6716.1,NA,NA,NA,NA,60.3,39.7,NA
Liechtenstein,ratified protocol,3,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA
Lithuania,ratified both crpd and protocol,4,2022,62,62,NA,NA,NA,NA,NA,NA,7.31,Flawed Democracy,89,24826.79,NA,NA,NA,NA,33.3,66.7,5.96
Luxembourg,ratified both crpd and protocol,4,2022,77,77,NA,NA,NA,NA,NA,NA,8.81,Full Democracy,97,126426.09,NA,NA,NA,NA,35.7,64.3,4.58
Madagascar,ratified protocol,3,2022,26,26,NA,NA,NA,NA,NA,NA,5.7,Hybrid Regime,61,505.04,NA,NA,NA,NA,NA,NA,NA
Malawi,ratified protocol,3,2022,34,34,NA,NA,NA,NA,NA,NA,5.91,Hybrid Regime,66,645.16,NA,NA,NA,NA,NA,NA,NA
Malaysia,ratified protocol,3,2022,47,47,NA,NA,NA,NA,NA,NA,7.3,Flawed Democracy,50,11971.93,NA,NA,NA,NA,55.7,44.3,NA
Maldives,ratified protocol,3,2022,40,40,NA,NA,NA,NA,NA,NA,NA,NA,40,11817.52,NA,NA,NA,NA,54.7,45.3,NA
Mali,ratified both crpd and protocol,4,2022,28,28,NA,NA,NA,NA,NA,NA,3.23,Authoritarian Regime,32,833.3,NA,NA,NA,NA,NA,NA,NA
Malta,ratified both crpd and protocol,4,2022,51,51,NA,NA,NA,NA,NA,NA,7.7,Flawed Democracy,89,33940.95,NA,NA,NA,NA,40.8,59.2,2.92
Marshall Islands,ratified protocol,3,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,6727.8,NA,NA,NA,NA,NA,NA,NA
Mauritania,ratified both crpd and protocol,4,2022,30,30,NA,NA,NA,NA,NA,NA,4.03,Hybrid Regime,35,2190.7,NA,NA,NA,NA,NA,NA,NA
Mauritius,ratified protocol,3,2022,50,50,NA,NA,NA,NA,NA,NA,8.14,Full Democracy,86,10216.29,NA,NA,NA,NA,48.9,51.1,NA
Mexico,ratified both crpd and protocol,4,2022,31,31,NA,NA,NA,NA,NA,NA,5.25,Hybrid Regime,60,11091.31,NA,NA,NA,NA,53.7,46.3,3.26
Micronesia,ratified protocol,3,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,3741.06,NA,NA,NA,NA,NA,NA,NA
Monaco,ratified both crpd and protocol,4,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,NA,NA,NA,NA,NA,25.1,74.9,NA
Mongolia,ratified both crpd and protocol,4,2022,33,33,NA,NA,NA,NA,NA,NA,6.35,Flawed Democracy,84,4946.75,NA,NA,NA,NA,53.7,46.3,6.21
Montenegro,ratified both crpd and protocol,4,2022,45,45,NA,NA,NA,NA,NA,NA,6.45,Flawed Democracy,67,9893.52,NA,NA,NA,NA,41.1,58.9,NA
Morocco,ratified both crpd and protocol,4,2022,38,38,NA,NA,NA,NA,NA,NA,5.04,Hybrid Regime,37,3527.94,NA,NA,NA,NA,49.1,50.9,NA
Mozambique,ratified both crpd and protocol,4,2022,26,26,NA,NA,NA,NA,NA,NA,3.51,Authoritarian Regime,43,541.45,NA,NA,NA,NA,62.8,37.2,NA
Myanmar,ratified protocol,3,2022,23,23,NA,NA,NA,NA,NA,NA,0.74,Authoritarian Regime,9,1095.7,NA,NA,NA,NA,46.5,53.5,NA
Namibia,ratified both crpd and protocol,4,2022,49,49,NA,NA,NA,NA,NA,NA,6.52,Flawed Democracy,77,4911.33,NA,NA,NA,NA,64.7,35.3,NA
Nauru,ratified protocol,3,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,11913.66,NA,NA,NA,NA,NA,NA,NA
Nepal,ratified both crpd and protocol,4,2022,34,34,NA,NA,NA,NA,NA,NA,4.49,Hybrid Regime,57,1336.55,NA,NA,NA,NA,37.5,62.5,NA
Netherlands,ratified protocol,3,2022,80,80,NA,NA,NA,NA,NA,NA,9,Full Democracy,97,55985.4,NA,NA,NA,NA,27.9,72.1,3.52
New Zealand,ratified protocol,3,2022,87,87,NA,NA,NA,NA,NA,NA,9.61,Full Democracy,99,48249.26,NA,NA,NA,NA,43.3,56.7,3.3
Nicaragua,ratified both crpd and protocol,4,2022,19,19,NA,NA,NA,NA,NA,NA,2.5,Authoritarian Regime,23,2255.43,NA,NA,NA,NA,47.9,52.1,NA
Niger,ratified both crpd and protocol,4,2022,32,32,NA,NA,NA,NA,NA,NA,3.73,Authoritarian Regime,51,533.03,NA,NA,NA,NA,NA,NA,NA
Nigeria,ratified both crpd and protocol,4,2022,24,24,NA,NA,NA,NA,NA,NA,4.23,Hybrid Regime,43,2184.42,NA,NA,NA,NA,63.8,36.2,NA
North Macedonia,ratified both crpd and protocol,4,2022,40,40,NA,NA,NA,NA,NA,NA,6.1,Flawed Democracy,67,6591.47,NA,NA,NA,NA,40.9,59.1,14.43
Norway,ratified protocol,3,2022,84,84,NA,NA,NA,NA,NA,NA,9.81,Full Democracy,100,106148.78,NA,NA,NA,NA,33.8,66.2,3.23
Oman,ratified protocol,3,2022,44,44,NA,NA,NA,NA,NA,NA,3.12,Authoritarian Regime,24,25056.79,NA,NA,NA,NA,20,80,NA
Pakistan,ratified protocol,3,2022,27,27,NA,NA,NA,NA,NA,NA,4.13,Hybrid Regime,37,1596.66,NA,NA,NA,NA,42,58,NA
Palau,ratified both crpd and protocol,4,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,NA,NA,NA,NA,NA,NA,NA,NA
Panama,ratified both crpd and protocol,4,2022,36,36,NA,NA,NA,NA,NA,NA,6.91,Flawed Democracy,83,17357.63,NA,NA,NA,NA,43.9,56.1,8.28
Papua New Guinea,ratified protocol,3,2022,30,30,NA,NA,NA,NA,NA,NA,5.97,Hybrid Regime,62,3020.27,NA,NA,NA,NA,81.2,18.8,NA
Paraguay,ratified both crpd and protocol,4,2022,28,28,NA,NA,NA,NA,NA,NA,5.89,Hybrid Regime,65,6153.06,NA,NA,NA,NA,49.2,50.8,6.75
Peru,ratified both crpd and protocol,4,2022,36,36,NA,NA,NA,NA,NA,NA,5.92,Hybrid Regime,72,7125.83,NA,NA,NA,NA,67.1,32.9,3.85
Philippines,ratified protocol,3,2022,33,33,NA,NA,NA,NA,NA,NA,6.73,Flawed Democracy,55,3498.51,NA,NA,NA,NA,42.3,57.7,NA
Poland,ratified protocol,3,2022,55,55,NA,NA,NA,NA,NA,NA,7.04,Flawed Democracy,81,18321.28,NA,NA,NA,NA,29.8,70.2,2.89
Portugal,ratified both crpd and protocol,4,2022,62,62,NA,NA,NA,NA,NA,NA,7.95,Flawed Democracy,95,24274.52,NA,NA,NA,NA,30.6,69.4,6.01
Qatar,ratified protocol,3,2022,58,58,NA,NA,NA,NA,NA,NA,3.65,Authoritarian Regime,25,88046.32,NA,NA,NA,NA,13.8,86.2,0.13
South Korea,ratified both crpd and protocol,4,2022,63,63,NA,NA,NA,NA,NA,NA,8.03,Full Democracy,83,32254.62,NA,NA,NA,NA,26.5,73.5,2.86
Moldova,ratified both crpd and protocol,4,2022,39,39,NA,NA,NA,NA,NA,NA,6.23,Flawed Democracy,62,5562.61,NA,NA,NA,NA,47.4,52.6,0.91
Romania,ratified protocol,3,2022,46,46,NA,NA,NA,NA,NA,NA,6.45,Flawed Democracy,83,15892.12,NA,NA,NA,NA,28.8,71.2,5.61
Russia,ratified protocol,3,2022,28,28,NA,NA,NA,NA,NA,NA,2.28,Authoritarian Regime,19,15345.1,NA,NA,NA,NA,39.6,60.4,3.87
Rwanda,ratified both crpd and protocol,4,2022,51,51,NA,NA,NA,NA,NA,NA,3.1,Authoritarian Regime,22,966.33,NA,NA,NA,NA,24.3,75.7,15.08
Samoa,ratified protocol,3,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,3743.21,NA,NA,NA,NA,NA,NA,NA
San Marino,ratified both crpd and protocol,4,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,NA,NA,NA,NA,NA,NA,NA,NA
Sao Tome and Principe,ratified both crpd and protocol,4,2022,45,45,NA,NA,NA,NA,NA,NA,NA,NA,84,2404.26,NA,NA,NA,NA,NA,NA,NA
Saudi Arabia,ratified both crpd and protocol,4,2022,51,51,NA,NA,NA,NA,NA,NA,2.08,Authoritarian Regime,7,30436.28,NA,NA,NA,NA,24.7,75.3,5.59
Senegal,ratified protocol,3,2022,43,43,NA,NA,NA,NA,NA,NA,5.72,Hybrid Regime,68,1598.74,NA,NA,NA,NA,NA,NA,NA
Serbia,ratified both crpd and protocol,4,2022,36,36,NA,NA,NA,NA,NA,NA,6.33,Flawed Democracy,62,9393.63,NA,NA,NA,NA,38.3,61.7,8.68
Seychelles,ratified protocol,3,2022,70,70,NA,NA,NA,NA,NA,NA,NA,NA,79,15874.54,NA,NA,NA,NA,NA,NA,NA
Sierra Leone,ratified protocol,3,2022,34,34,NA,NA,NA,NA,NA,NA,5.03,Hybrid Regime,65,461.36,NA,NA,NA,NA,NA,NA,NA
Singapore,ratified protocol,3,2022,83,83,NA,NA,NA,NA,NA,NA,6.22,Flawed Democracy,47,82807.65,NA,NA,NA,NA,27.6,72.4,3.59
Slovakia,ratified both crpd and protocol,4,2022,53,53,NA,NA,NA,NA,NA,NA,7.07,Flawed Democracy,90,NA,NA,NA,NA,NA,30.2,69.8,NA
Slovenia,ratified both crpd and protocol,4,2022,56,56,NA,NA,NA,NA,NA,NA,7.75,Flawed Democracy,90,29457.4,NA,NA,NA,NA,22.7,77.3,4.01
Solomon Islands,ratified protocol,3,2022,42,42,NA,NA,NA,NA,NA,NA,NA,NA,79,2203.19,NA,NA,NA,NA,NA,NA,NA
Somalia,ratified protocol,3,2022,12,12,NA,NA,NA,NA,NA,NA,NA,NA,7,461.78,NA,NA,NA,NA,58,42,NA
South Africa,ratified both crpd and protocol,4,2022,43,43,NA,NA,NA,NA,NA,NA,7.05,Flawed Democracy,79,6776.48,NA,NA,NA,NA,76.1,23.9,28.84
Spain,ratified both crpd and protocol,4,2022,60,60,NA,NA,NA,NA,NA,NA,8.07,Full Democracy,90,29350.17,NA,NA,NA,NA,33.9,66.1,12.92
Sri Lanka,ratified protocol,3,2022,36,36,NA,NA,NA,NA,NA,NA,6.47,Flawed Democracy,55,3354.38,NA,NA,NA,NA,41.2,58.8,NA
St. Kitts and Nevis,ratified protocol,3,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,20176.75,NA,NA,NA,NA,NA,NA,NA
St. Lucia,ratified both crpd and protocol,4,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,11481.5,NA,NA,NA,NA,NA,NA,15.77
St. Vincent and the Grenadines,ratified both crpd and protocol,4,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,9125.32,NA,NA,NA,NA,NA,NA,NA
Palestine,ratified both crpd and protocol,4,2022,NA,NA,NA,NA,NA,NA,NA,NA,3.86,Authoritarian Regime,NA,NA,NA,NA,NA,NA,43.2,56.8,NA
Sudan,ratified both crpd and protocol,4,2022,22,22,NA,NA,NA,NA,NA,NA,2.47,Authoritarian Regime,10,1102.15,NA,NA,NA,NA,44.6,55.4,NA
Suriname,ratified protocol,3,2022,40,40,NA,NA,NA,NA,NA,NA,6.95,Flawed Democracy,79,5858.29,NA,NA,NA,NA,NA,NA,NA
Sweden,ratified both crpd and protocol,4,2022,83,83,NA,NA,NA,NA,NA,NA,9.39,Full Democracy,100,55873.22,NA,NA,NA,NA,49,51,7.39
Switzerland,ratified protocol,3,2022,82,82,NA,NA,NA,NA,NA,NA,9.14,Full Democracy,96,92101.47,NA,NA,NA,NA,21.7,78.3,4.3
Syria,ratified both crpd and protocol,4,2022,13,13,NA,NA,NA,NA,NA,NA,1.43,Authoritarian Regime,1,NA,NA,NA,NA,NA,67.5,32.5,NA
Tajikistan,only signed crpd,1,2022,24,24,NA,NA,NA,NA,NA,NA,1.94,Authoritarian Regime,8,1054.19,NA,NA,NA,NA,NA,NA,NA
Thailand,ratified both crpd and protocol,4,2022,36,36,NA,NA,NA,NA,NA,NA,6.67,Flawed Democracy,29,6908.8,NA,NA,NA,NA,39.3,60.7,0.94
Timor-Leste,ratified both crpd and protocol,4,2022,42,42,NA,NA,NA,NA,NA,NA,NA,NA,72,2358.41,NA,NA,NA,NA,NA,NA,NA
Togo,ratified both crpd and protocol,4,2022,30,30,NA,NA,NA,NA,NA,NA,2.99,Authoritarian Regime,42,918.38,NA,NA,NA,NA,NA,NA,NA
Tonga,only signed crpd,1,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,NA,NA,NA,NA,NA,NA,NA,NA
Trinidad and Tobago,ratified protocol,3,2022,42,42,NA,NA,NA,NA,NA,NA,7.16,Flawed Democracy,82,18222.26,NA,NA,NA,NA,71.4,28.6,NA
Tunisia,ratified both crpd and protocol,4,2022,40,40,NA,NA,NA,NA,NA,NA,5.51,Hybrid Regime,64,3776.67,NA,NA,NA,NA,44.3,55.7,NA
Turkey,ratified both crpd and protocol,4,2022,36,36,NA,NA,NA,NA,NA,NA,4.35,Hybrid Regime,32,10616.06,NA,NA,NA,NA,39.7,60.3,10.43
Turkmenistan,ratified both crpd and protocol,4,2022,19,19,NA,NA,NA,NA,NA,NA,1.66,Authoritarian Regime,2,NA,NA,NA,NA,NA,NA,NA,NA
Tuvalu,ratified protocol,3,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,5334.99,NA,NA,NA,NA,NA,NA,NA
Uganda,ratified both crpd and protocol,4,2022,26,26,NA,NA,NA,NA,NA,NA,4.55,Hybrid Regime,34,964.22,NA,NA,NA,NA,56.2,43.8,NA
Ukraine,ratified both crpd and protocol,4,2022,33,33,NA,NA,NA,NA,NA,NA,5.42,Hybrid Regime,61,4533.98,NA,NA,NA,NA,46.9,53.1,NA
United Arab Emirates,ratified protocol,3,2022,67,67,NA,NA,NA,NA,NA,NA,2.9,Authoritarian Regime,17,53757.86,NA,NA,NA,NA,15.1,84.9,NA
United Kingdom,ratified both crpd and protocol,4,2022,73,73,NA,NA,NA,NA,NA,NA,8.28,Full Democracy,93,45850.43,NA,NA,NA,NA,46.5,53.5,NA
Tanzania,ratified both crpd and protocol,4,2022,38,38,NA,NA,NA,NA,NA,NA,5.1,Hybrid Regime,34,1192.4,NA,NA,NA,NA,56.3,43.7,NA
United States,only signed crpd,1,2022,69,69,NA,NA,NA,NA,NA,NA,7.85,Flawed Democracy,83,76398.59,NA,NA,NA,NA,48.2,51.8,3.65
Uruguay,ratified both crpd and protocol,4,2022,74,74,NA,NA,NA,NA,NA,NA,8.91,Full Democracy,97,20795.04,NA,NA,NA,NA,51.4,48.6,7.87
Uzbekistan,ratified protocol,3,2022,31,31,NA,NA,NA,NA,NA,NA,2.12,Authoritarian Regime,11,2255.15,NA,NA,NA,NA,33.8,66.2,NA
Vanuatu,ratified protocol,3,2022,48,48,NA,NA,NA,NA,NA,NA,NA,NA,82,3010.29,NA,NA,NA,NA,NA,NA,NA
Venezuela,ratified protocol,3,2022,14,14,NA,NA,NA,NA,NA,NA,2.23,Authoritarian Regime,14,NA,NA,NA,NA,NA,83.6,16.4,NA
Vietnam,ratified protocol,3,2022,42,42,NA,NA,NA,NA,NA,NA,2.73,Authoritarian Regime,19,4163.51,NA,NA,NA,NA,45.8,54.2,1.54
Yemen,ratified both crpd and protocol,4,2022,16,16,NA,NA,NA,NA,NA,NA,1.95,Authoritarian Regime,9,676.93,NA,NA,NA,NA,NA,NA,NA
Zambia,ratified protocol,3,2022,33,33,NA,NA,NA,NA,NA,NA,5.8,Hybrid Regime,51,1487.91,NA,NA,NA,NA,46.3,53.7,NA
Zimbabwe,ratified both crpd and protocol,4,2022,23,23,NA,NA,NA,NA,NA,NA,2.92,Authoritarian Regime,28,1267,NA,NA,NA,NA,59.7,40.3,NA
